inec_provincia_id,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
03,Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,10/01/2021
06,Chimborazo,524004,357,0,124,-1.674347000000000,-78.64829400000001,10/01/2021
05,Cotopaxi,488716,316,0,65,-0.9333330000000000,-78.61666700000001,10/01/2021
07,El Oro,715751,577,0,209,-3.266667000000000,-79.96666700000000,10/01/2021
08,Esmeraldas,591083,242,0,55,1.050000000000000,-79.20000000000000,10/01/2021
20,Galápagos,33042,6,0,2,-0.7999999999999999,-89.40000000000001,10/01/2021
09,Guayas,4387434,1866,0,1694,-2.183333000000000,-79.88333299999999,10/01/2021
10,Imbabura,476257,217,0,17,0.3626780000000000,-78.13066700000000,10/01/2021
11,Loja,521154,247,0,47,-3.983333000000000,-79.20000000000000,10/01/2021
12,Los Ríos,921763,362,0,242,-1.800000000000000,-79.53333300000000,10/01/2021
13,Manabí,1562079,1325,0,1061,-1.056181000000000,-80.45521700000000,10/01/2021
14,Morona Santiago,196535,37,0,0,-2.300000000000000,-78.11666700000001,10/01/2021
15,Napo,133705,78,0,3,-0.9890000000000000,-77.81590000000000,10/01/2021
22,Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,10/01/2021
16,Pastaza,114202,64,0,17,-1.066667000000000,-78.00111099999999,10/01/2021
17,Pichincha,3228233,2033,0,277,-0.2186110000000000,-78.50972200000000,10/01/2021
24,Santa Elena,401178,389,0,280,-2.226700000000000,-80.85830000000000,10/01/2021
23,Sto. Domingo Tsáchilas,511151,385,0,116,-0.2541670000000000,-79.17194400000000,10/01/2021
21,Sucumbíos,230503,100,0,3,0.08472200000000002,-76.88277800000000,10/01/2021
18,Tungurahua,590600,350,0,310,-1.241667000000000,-78.61972200000000,10/01/2021
19,Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,10/01/2021
01,Azuay,881394,226,0,20,-2.897414000000000,-79.00448100000000,11/01/2021
02,Bolívar,209933,73,0,15,-1.605556000000000,-79.00305600000000,11/01/2021
04,Carchi,186869,133,3,2,0.8121800000000000,-77.71633000000000,11/01/2021
03,Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,11/01/2021
06,Chimborazo,524004,357,0,124,-1.674347000000000,-78.64829400000001,11/01/2021
05,Cotopaxi,488716,316,0,65,-0.9333330000000000,-78.61666700000001,11/01/2021
07,El Oro,715751,577,0,209,-3.266667000000000,-79.96666700000000,11/01/2021
08,Esmeraldas,591083,242,0,55,1.050000000000000,-79.20000000000000,11/01/2021
20,Galápagos,33042,6,0,2,-0.7999999999999999,-89.40000000000001,11/01/2021
09,Guayas,4387434,1866,0,1694,-2.183333000000000,-79.88333299999999,11/01/2021
10,Imbabura,476257,217,0,17,0.3626780000000000,-78.13066700000000,11/01/2021
11,Loja,521154,247,0,47,-3.983333000000000,-79.20000000000000,11/01/2021
12,Los Ríos,921763,363,1,242,-1.800000000000000,-79.53333300000000,11/01/2021
13,Manabí,1562079,1328,3,1061,-1.056181000000000,-80.45521700000000,11/01/2021
14,Morona Santiago,196535,37,0,0,-2.300000000000000,-78.11666700000001,11/01/2021
15,Napo,133705,78,0,3,-0.9890000000000000,-77.81590000000000,11/01/2021
22,Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,11/01/2021
16,Pastaza,114202,64,0,17,-1.066667000000000,-78.00111099999999,11/01/2021
17,Pichincha,3228233,2033,0,277,-0.2186110000000000,-78.50972200000000,11/01/2021
24,Santa Elena,401178,389,0,280,-2.226700000000000,-80.85830000000000,11/01/2021
23,Sto. Domingo Tsáchilas,511151,385,0,116,-0.2541670000000000,-79.17194400000000,11/01/2021
21,Sucumbíos,230503,100,0,3,0.08472200000000002,-76.88277800000000,11/01/2021
18,Tungurahua,590600,350,0,310,-1.241667000000000,-78.61972200000000,11/01/2021
19,Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,11/01/2021
01,Azuay,881394,226,0,20,-2.897414000000000,-79.00448100000000,12/01/2021
02,Bolívar,209933,73,0,15,-1.605556000000000,-79.00305600000000,12/01/2021
04,Carchi,186869,134,1,2,0.8121800000000000,-77.71633000000000,12/01/2021
03,Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,12/01/2021
06,Chimborazo,524004,358,1,124,-1.674347000000000,-78.64829400000001,12/01/2021
05,Cotopaxi,488716,316,0,65,-0.9333330000000000,-78.61666700000001,12/01/2021
07,El Oro,715751,582,5,211,-3.266667000000000,-79.96666700000000,12/01/2021
08,Esmeraldas,591083,242,0,55,1.050000000000000,-79.20000000000000,12/01/2021
20,Galápagos,33042,6,0,2,-0.7999999999999999,-89.40000000000001,12/01/2021
09,Guayas,4387434,1866,0,1694,-2.183333000000000,-79.88333299999999,12/01/2021
10,Imbabura,476257,217,0,17,0.3626780000000000,-78.13066700000000,12/01/2021
11,Loja,521154,247,0,47,-3.983333000000000,-79.20000000000000,12/01/2021
12,Los Ríos,921763,363,0,242,-1.800000000000000,-79.53333300000000,12/01/2021
13,Manabí,1562079,1328,0,1061,-1.056181000000000,-80.45521700000000,12/01/2021
14,Morona Santiago,196535,37,0,0,-2.300000000000000,-78.11666700000001,12/01/2021
15,Napo,133705,79,1,3,-0.9890000000000000,-77.81590000000000,12/01/2021
22,Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,12/01/2021
16,Pastaza,114202,65,1,17,-1.066667000000000,-78.00111099999999,12/01/2021
17,Pichincha,3228233,2033,0,277,-0.2186110000000000,-78.50972200000000,12/01/2021
24,Santa Elena,401178,389,0,280,-2.226700000000000,-80.85830000000000,12/01/2021
23,Sto. Domingo Tsáchilas,511151,385,0,116,-0.2541670000000000,-79.17194400000000,12/01/2021
21,Sucumbíos,230503,101,1,3,0.08472200000000002,-76.88277800000000,12/01/2021
18,Tungurahua,590600,350,0,310,-1.241667000000000,-78.61972200000000,12/01/2021
19,Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,12/01/2021
01,Azuay,881394,226,0,20,-2.897414000000000,-79.00448100000000,13/01/2021
02,Bolívar,209933,73,0,15,-1.605556000000000,-79.00305600000000,13/01/2021
04,Carchi,186869,135,1,2,0.8121800000000000,-77.71633000000000,13/01/2021
03,Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,13/01/2021
06,Chimborazo,524004,360,2,124,-1.674347000000000,-78.64829400000001,13/01/2021
05,Cotopaxi,488716,322,6,65,-0.9333330000000000,-78.61666700000001,13/01/2021
07,El Oro,715751,583,1,211,-3.266667000000000,-79.96666700000000,13/01/2021
08,Esmeraldas,591083,242,0,55,1.050000000000000,-79.20000000000000,13/01/2021
20,Galápagos,33042,6,0,2,-0.7999999999999999,-89.40000000000001,13/01/2021
09,Guayas,4387434,1866,0,1694,-2.183333000000000,-79.88333299999999,13/01/2021
